departamento,municipio,genero,menciones,preferencia,confianza,fuentes
"Boyaca","Boavita","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Riosucio","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Caldono","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Susa","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Iles","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ambalema","Musica popular","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Turbaco","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Fuquene","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","San Luis De Palenque","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cordoba","Purisima De La Concepcion","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Nocaima","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Archipielago De San Andres, Providencia Y Santa Catalina","Providencia","Rock","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Choco","Novita","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Santa Isabel","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Santa Isabel","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Cucutilla","Salsa","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Funza","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Funza","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","La Union","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","La Union","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Ricaurte","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Honda","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Honda","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Iza","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Iza","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Tocancipa","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Tocancipa","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","El Carmen De Chucuri","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","El Carmen De Chucuri","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Mutiscua","Musica popular","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Mutiscua","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","San Antonio","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","San Antonio","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"La Guajira","El Molino","Rock","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"La Guajira","El Molino","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Lerida","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Anserma","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Caqueta","El Paujil","Musica popular","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Caqueta","El Paujil","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Belmira","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Belmira","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Sonson","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Guican De La Sierra","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Guican De La Sierra","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Guaduas","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Amazonas","Leticia","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Gacheta","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Gacheta","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Pamplona","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Tenza","Musica popular","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Tenza","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Putumayo","Sibundoy","Cumbia","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Putumayo","Sibundoy","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Cachipay","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Cachipay","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","La Plata","Musica popular","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","La Plata","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Florida","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Vijes","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Vijes","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Ebejico","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Ebejico","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Pore","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Pore","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Guasca","Cumbia","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Guasca","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Chaparral","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Ituango","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Ituango","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Cucutilla","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Villahermosa","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Villahermosa","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Pueblorrico","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Pueblorrico","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Saboya","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Saboya","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Agua De Dios","Musica popular","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Agua De Dios","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Soplaviento","Salsa","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Soplaviento","Cumbia","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Granada","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Granada","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","El Carmen De Bolivar","Cumbia","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","El Carmen De Bolivar","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Bello","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Corrales","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Corrales","Hip hop","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","La Capilla","Musica popular","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","La Capilla","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Amazonas","Leticia","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Envigado","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Envigado","Hip hop","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Guaduas","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Chaparral","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Cajica","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Bello","Electronica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Yumbo","Pacifico","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Yumbo","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Girardot","Cumbia","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Miranda","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Santa Barbara","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Santa Barbara","Hip hop","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Lerida","Musica popular","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Pamplona","Cumbia","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Amazonas","Puerto Narino","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Amazonas","Puerto Narino","Hip hop","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Miranda","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Florida","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Puerto Wilches","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Puerto Wilches","Hip hop","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Sonson","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Chiquinquira","Musica popular","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Ricaurte","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Anserma","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Chiquinquira","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Cajica","Cumbia","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Girardot","Clasica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Olaya Herrera","Pacifico","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Olaya Herrera","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Quindio","Salento","Rock","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Quindio","Salento","Electronica","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Balboa","Pacifico","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Balboa","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","San Martin","Llanera","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Rionegro","Reggaeton","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Rionegro","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Chia","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Tamara","Reggaeton","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Tamara","Llanera","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Tamara","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Andalucia","Cumbia","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Guaviare","San Jose Del Guaviare","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Fuentedeoro","Reggaeton","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Fuentedeoro","Llanera","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Fuentedeoro","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Remedios","Reggaeton","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Remedios","Llanera","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Remedios","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Sogamoso","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Sucre","Sincelejo","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Aguazul","Reggaeton","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Aguazul","Llanera","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","Aguazul","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Rionegro","Clasica","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Risaralda","Pereira","Clasica","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Gualmatan","Electronica","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Gualmatan","Folclor","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Jenesano","Reggaeton","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Jenesano","Clasica","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Jenesano","Electronica","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Risaralda","Pereira","Llanera","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Chia","Llanera","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Chia","Rock","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Risaralda","Pereira","Pacifico","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Gualmatan","Clasica","1","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Sin dato","Otro","Reggaeton","1","33","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Otro","Folclor","1","33","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Otro","Clasica","1","33","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Huila","Gigante","Reggaeton","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","Gigante","Cumbia","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Falan","Cumbia","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","El Carmen De Viboral","Clasica","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Quindio","Cordoba","Reggaeton","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Quindio","Cordoba","Folclor","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Cesar","Valledupar","Folclor","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Arauca","Tame","Llanera","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Arauca","Tame","Folclor","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","Neiva","Folclor","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Paipa","Reggaeton","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Paipa","Llanera","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Paipa","Folclor","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Ocana","Reggaeton","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Falan","Clasica","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Apartado","Clasica","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Apartado","Electronica","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Samaca","Reggaeton","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Samaca","Musica popular","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Cesar","Valledupar","Vallenato","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","El Carmen De Viboral","Llanera","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Arauca","Tame","Musica popular","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Arauca","Tame","Clasica","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Ipiales","Musica popular","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"La Guajira","Riohacha","Folclor","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Paipa","Cumbia","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Ipiales","Clasica","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Buenaventura","Pacifico","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"La Guajira","Riohacha","Vallenato","1","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ortega","Reggaeton","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ortega","Cumbia","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ortega","Pacifico","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ortega","Hip hop","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ortega","Folclor","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Manizales","Folclor","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Soacha","Llanera","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Soacha","Folclor","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ibague","Folclor","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Soacha","Reggaeton","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Soacha","Musica popular","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Soacha","Clasica","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Manizales","Electronica","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Cordoba","Monteria","Llanera","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Cordoba","Monteria","Champeta","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","San Andres De Tumaco","Folclor","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Manizales","Clasica","1","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","La Ceja","Reggaeton","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Choco","Quibdo","Reggaeton","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Palmira","Salsa","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Palmira","Musica popular","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Palmira","Folclor","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Caqueta","Florencia","Salsa","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Caqueta","Florencia","Musica popular","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Caqueta","Florencia","Folclor","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Pasto","Folclor","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Pasto","Musica popular","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Tunja","Llanera","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Palmira","Llanera","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Palmira","Clasica","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Palmira","Reggaeton","1","17","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Puerto Gaitan","Reggaeton","1","14","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Puerto Gaitan","Llanera","1","14","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Puerto Gaitan","Folclor","1","14","100","Espacios de las Artes, las Culturas y los Saberes"
"Sin dato","Piedecuesta","Salsa","1","14","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Piedecuesta","Musica popular","1","14","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Santander","Bucaramanga","Folclor","1","13","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Villavicencio","Cumbia","1","10","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Policarpa","Clasica","1","10","100","Espacios de las Artes, las Culturas y los Saberes"
"Sin dato","Giron","Clasica","1","10","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Bolivar","Cartagena De Indias","Champeta","1","9","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Cartagena De Indias","Electronica","1","9","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Santiago De Cali","Llanera","1","9","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Santiago De Cali","Reggaeton","1","9","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Santiago De Cali","Hip hop","1","9","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Santiago De Cali","Rock","1","9","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Santiago De Cali","Pacifico","1","9","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","San Jose De Cucuta","Folclor","1","9","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Cartagena De Indias","Cumbia","1","9","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Sibate","Folclor","1","7","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Sibate","Reggaeton","1","7","100","Espacios de las Artes, las Culturas y los Saberes"
"Atlantico","Barranquilla","Llanera","1","7","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Medellin","Reggaeton","1","6","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Calima","Musica popular","1","3","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Calima","Hip hop","1","3","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Calima","Clasica","1","3","100","Espacios de las Artes, las Culturas y los Saberes"
"Bogota, D. C.","Bogota, D.C.","Salsa","1","2","100","Espacios de las Artes, las Culturas y los Saberes"
"Bogota, D. C.","Bogota, D.C.","Rock","1","2","100","Espacios de las Artes, las Culturas y los Saberes"